"Page","Capacity","Color(s)","Image"
"Saehan Melodia","80","red, orange, green, blue, pink","discs:saehan_melodia_md80_front.jpg"
"Sailor MD 74","74","yellow, green, blue, pink, white",":discs:sailor:md-blank_sailor-74_yellow_disc_front_.jpg"
"Scotch MD 74","74","black",":discs:scotch:md-blank_scotch_md-74s_disc_front_.jpg"
"Scouter 80","80","red, blue, black",":discs:scouter:md-blank_scouter-80_red_disc_front_.jpg"
"Sharp MD-R 80","80","purple",":discs:sharpmdr80-disc-front.jpg"
"Sony Basic (1st Series) 74","74","black","discs:basic1.jpg"
"Sony Colour Collection (1st Series) 74","74","red, yellow, blue","discs:colourcollection1.jpg"
"Sony Lumina (2nd Series) 80","80","red, blue",""
"Sony MD2000 74","74","grey",""
"Sony Premium (at least series 2?)","74","orange, black","discs:sony:sonypremiumver2minimumfront.jpg"
"Sony Premium Gold 80","80","yellow",":discs:mdw80pl_discfront.png"
"Sony Bianca (1st Series)","74","red, yellow, green, blue, black","discs:sony:sony_bianca_serie_1_md74_front.jpg"
"Sony Bianca (2nd Series)","80","red, yellow, blue, purple, black","discs:sony:sony_bianca_80_cover.jpg"
"Sony Color Collection (2nd Series)","74","red, orange, yellow, green, blue, purple, black",":discs:sony:md-blank_sony-color-74_blue_v2_disc_front_.jpg"
"Sony Color Collection (5th Series)","80","red, green, blue, purple, black",":discs:sony:mdw80cl_disc-f.jpg"
"Sony Color Collection (7th series)","80","red, orange, blue, purple, black",":discs:sony:sony_color_collection_7th_2004_.jpg"
"Sony ES (1st Series)","74","white",":discs:sony:md-blank_sony_es-74_v1_disc_front_.jpg"
"Sony ES (2nd Series)","80","white",":discs:sony:md-blank_sony_es-80_series2_disc_front_1.jpg"
"Sony Lumina","74","blue, pink","discs:sony:sony_lumina_series_74_front.jpg"
"Sony MDW60","60","grey",":discs:img_20231019_204627.jpg"
"Sony MDW74","74","grey",":discs:sony:md-blank_sony_mdw-74_disc_front_.jpg"
"Sony MDW-A","74","black",":discs:sony:md-blank_sony-mdw-74a_disc_front_.jpg"
"Sony Basic MDW80BC","80","clear",":discs:sony:minidisc_sony-mdw80bc_fd.jpg"
"Sony  MDW80T","80","clear",":discs:sony:100000001002937734_10214.png"
"Sony Neige (1st Series)","74","clear",""
"Sony Neige (2nd Series)","80","clear","discs:sony:sony_neige_80_front.jpg"
"Sony Neige (3rd Series)","74","clear","discs:sony:sonyneigev3_74_front.jpg"
"Sony Neige (4th Series)","80","clear",":discs:sony:md-blank_sony_neige-80_v6_disc_front_.jpg"
"Sony Premium (1st Series)","80","yellow, black",":discs:20221102_102711.jpg"
"Sony Prism (1st Series)","74","blue",":discs:sony:md-blank_sony-prism-74_series1_disc_front_.jpg"
"Sony Prism (2nd Series)","80","black",":discs:sony:md-blank_sony-prism-74_series2_disc_front_.jpg"
"Sony Prism (3rd Series)","74","black",":discs:sony:md-blank_sony_prism-74_series3_disc_front_.jpg"
"Sony Prism (4th Series)","74","black",":discs:sony:md-blank_sony-prism-74_series4_disc_front_.jpg"
"Sony Prism (5th Series)","74","",":discs:sony:md-blank_sony-premium-74_v4_disc_front_.jpg"
"Sony PRMD","80","black",":discs:sony:md-blank_sony_prmd-74_disc_front_.jpg"
"Sony Sparkling (1st Series)","74","orange, blue",":discs:sony:md-blank_sony-sparkling-74_blue_series1_disc_front_.jpg"
"Sony Suntory Boss Coffee 80","80","blue","discs:suntorybosscoffeefr.jpg"
"Sony Utada Hikaru Red Hot 80","80","red",":discs:mdw80rh_discfront.png"
"TDK","80","blue",":discs:tdk_-_turquoise_-_80_minutes.jpg"
"TDK CLEF","74","white",":discs:tdk:md-blank_tdk_clef-74_disc_front_.jpg"
"TDK CLEF MD-CL80X10N","80","white","discs:tdk_clef_80_front.png"
"TDK FINE (1st Series)","74","red, orange, yellow, green, blue","discs:tdk_fine_series1_74_front.jpg"
"TDK FINE (3rd Series)","80","red, yellow, green, blue, black",":discs:tdk:md-blank_tdk_fine-74_series3_blue_disc_front_.jpg"
"TDK FINE (4th Series)","80","red, orange, green, blue, black",":discs:tdk:md-blank_tdk_fine-74_series4_blue_disc_front_.jpg"
"TDK ho","74","red, yellow, green, blue, pattern","discs:tdk:tdk_ho_74_front.jpg"
"TDK Lucir (1st Series)","80","blue, pink",""
"TDK Lucir (2nd Series)","74","blue, pink",":discs:tdk:md-blank_tdk_lucir-74_series2_blue_disc_front_.jpg"
"TDK  MD-XG","74","grey",":discs:tdk:md-blank_tdk_xg-74_disc_front_.jpg"
"TDK MD-XGN","74","clear",":discs:tdk:md-blank_tdk_xg-74n_disc_front_.jpg"
"TDK MD COLOUR (EU)","74","red, yellow, green, blue",":discs:tdk_colour.jpg"
"TDK Music Jack (4th Series)","74","orange, blue, black","discs:tdk:tdk_music_jack_74_front.jpg"
"TDK XA PRO","74","black",":discs:tdk:md-blank_tdk_xa_pro-74_disc_front_.jpg"
"TDK XG","74","grey",":discs:tdk:md-blank_tdk_xg-74x_disc_front_.jpg"
"TDK MD-XGSP","74","black",":discs:tdk:md-blank_tdk_sp-74_disc_front_.jpg"
"TDK XS-iV DesignLine Bow Wow Wow","74","purple","img_20230126_215845_2.jpg"
"TDK XS-iV Design Line (EA)","74","pattern",":discs:tdk:md-blank_tdk_xs-iv-74_design_line_disc_front_.jpg"
"TDK WA","74","orange, green, blue, pink, grey",":discs:tdk_-_wa-_74_minutes.jpg"
"Tsutaya TR (2nd Series)","74","orange, blue, pink",":discs:tsutaya:md-blank_tsutaya-74_v2_blue_disc_front_.jpg"
"Victor","74","yellow, green",":discs:victor:md74_group.jpg"
"Victor Clear MD 80","80","clear",":discs:md-80qx_front.png"
"Victor Color Palette (2nd Series/Light Version)","74","yellow, green, blue, purple","discs:victor:victorcolorpalettelightversionserie2_front.jpg"
"Victor Fino","74","red, orange, green, blue, black",":discs:dsc_1751.jpg"
"Victor Ar (1st Series)","74","red, orange, green, blue",":discs:victor:md-blank_victor_ar-74_blue_v1_disc_front_.jpg"
"Victor Crystal Pure Gold","74","black",":discs:victor:crystal-gold-74_disc-f.jpg"
"Victor MD-60B","60","yellow",":discs:victor:md-blank_victor_md-60b_disc_front_.jpg"
"Victor Pocop","74","yellow, blue, pink","discs:victor:victor_pocop_74_front.jpg"
"Xeus XMDEX-74","74","black",":discs:xeus:md-blank_xeus-74_disc_front_.jpg"
